Journey Event ID,Journey ID,Event Time Stamp,Latitude,Longitude,Event Type ID,Event Description,Time Elapsed,Distance From Previous Position,Average Speed From Prev Point,Satellite Count,HDOP Value
8606020784,124934495,13 Nov 2021 21:31:10:000,51.5888,-0.2058623,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,37.0,156.0,8.837837838,13.0,0.699999988
8606020785,124934495,13 Nov 2021 21:31:25:000,51.5893,-0.2037082,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,15.0,159.0,23.33333333,11.0,0.899999976
8606020786,124934495,13 Nov 2021 21:31:38:000,51.58994,-0.2017948,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,13.0,151.0,25.30769231,12.0,0.800000012
8606020787,124934495,13 Nov 2021 21:31:54:000,51.59098,-0.2003037,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,16.0,156.0,21.3125,12.0,0.800000012
8606020788,124934495,13 Nov 2021 21:32:17:000,51.59023,-0.1996722,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,23.0,157.0,14.65217391,11.0,1.0
8606020789,124934495,13 Nov 2021 21:32:31:000,51.58884,-0.1997722,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,14.0,158.0,24.5,12.0,0.800000012
8606020790,124934495,13 Nov 2021 21:32:44:000,51.58739,-0.1998568,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,13.0,161.0,27.53846154,13.0,0.800000012
8606020791,124934495,13 Nov 2021 21:32:56:000,51.58603,-0.1998973,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,12.0,151.0,27.66666667,13.0,0.699999988
8606020792,124934495,13 Nov 2021 21:33:16:000,51.58503,-0.200624,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,20.0,152.0,16.3,12.0,0.800000012
8606020793,124934495,13 Nov 2021 21:35:52:000,51.58521,-0.1999458,7,RTP_EVT_EXCESSIVE_ACCELERATION,156.0,,,,
8606020794,124934495,13 Nov 2021 21:35:56:000,51.58561,-0.1999298,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,4.0,156.0,1.7875,11.0,1.0
8606020795,124934495,13 Nov 2021 21:36:09:000,51.587,-0.1999003,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,13.0,155.0,25.53846154,8.0,1.899999976
8606020796,124934495,13 Nov 2021 21:36:22:000,51.58837,-0.1998828,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,13.0,152.0,25.07692308,9.0,1.5
8606020797,124934495,13 Nov 2021 21:37:00:000,51.58957,-0.2004195,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,38.0,150.0,8.394736842,13.0,0.699999988
8606020798,124934495,13 Nov 2021 21:37:14:000,51.58932,-0.202686,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,14.0,163.0,25.92857143,13.0,0.699999988
8606020799,124934495,13 Nov 2021 21:37:23:000,51.58882,-0.2047207,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,9.0,151.0,37.0,13.0,0.699999988
8606020800,124934495,13 Nov 2021 21:37:32:000,51.58831,-0.2067447,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,9.0,151.0,37.11111111,13.0,0.699999988
8606020801,124934495,13 Nov 2021 21:37:41:000,51.58747,-0.2084285,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,9.0,150.0,36.88888889,13.0,0.699999988
8606020802,124934495,13 Nov 2021 21:37:50:000,51.58627,-0.2094647,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,9.0,152.0,37.11111111,13.0,0.699999988
8606020803,124934495,13 Nov 2021 21:37:59:000,51.58497,-0.2101672,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,9.0,152.0,37.33333333,12.0,0.800000012
8606020804,124934495,13 Nov 2021 21:38:08:000,51.58367,-0.2108308,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,9.0,152.0,37.33333333,12.0,0.800000012
8606020805,124934495,13 Nov 2021 21:38:17:000,51.58232,-0.2111487,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,9.0,152.0,37.33333333,12.0,0.800000012
8606020821,124934495,13 Nov 2021 21:48:51:000,51.58255,-0.2113848,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,25.0,165.0,14.52,11.0,0.800000012
8606020822,124934495,13 Nov 2021 21:49:01:000,51.584,-0.210918,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,10.0,165.0,36.8,12.0,0.800000012
8606020823,124934495,13 Nov 2021 21:49:10:000,51.58531,-0.2102225,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,9.0,153.0,37.44444444,12.0,0.800000012
8606020824,124934495,13 Nov 2021 21:49:20:000,51.58672,-0.2094467,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,10.0,166.0,36.9,13.0,0.800000012
8606020825,124934495,13 Nov 2021 21:49:30:000,51.58791,-0.208071,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,10.0,164.0,36.4,13.0,0.699999988
8606020826,124934495,13 Nov 2021 21:50:12:000,51.58867,-0.2062705,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,42.0,153.0,7.476190476,13.0,0.800000012
8606020827,124934495,13 Nov 2021 21:50:24:000,51.58917,-0.2041697,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,12.0,156.0,28.66666667,13.0,0.800000012
8606020828,124934495,13 Nov 2021 21:50:36:000,51.58975,-0.2021602,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,12.0,154.0,28.16666667,12.0,0.800000012
8606020829,124934495,13 Nov 2021 21:50:50:000,51.59071,-0.200552,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,14.0,155.0,24.07142857,14.0,0.600000024
8606020830,124934495,13 Nov 2021 21:51:07:000,51.59191,-0.1996077,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,17.0,154.0,20.11764706,14.0,0.600000024
8606020831,124934495,13 Nov 2021 21:51:19:000,51.59325,-0.1992687,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,12.0,151.0,27.66666667,14.0,0.600000024
8606020832,124934495,13 Nov 2021 21:51:31:000,51.5946,-0.1989215,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,12.0,152.0,28.0,12.0,0.800000012
8606020833,124934495,13 Nov 2021 21:51:43:000,51.59593,-0.1984875,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,12.0,151.0,27.83333333,14.0,0.600000024
8606020834,124934495,13 Nov 2021 21:52:06:000,51.59724,-0.1979642,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,23.0,150.0,14.08695652,13.0,0.800000012
8606020835,124934495,13 Nov 2021 21:52:22:000,51.59848,-0.1969698,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,16.0,154.0,21.375,11.0,0.800000012
8606020836,124934495,13 Nov 2021 21:52:36:000,51.59961,-0.1957757,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,14.0,151.0,23.21428571,13.0,0.800000012
8606020837,124934495,13 Nov 2021 21:52:55:000,51.60069,-0.1944798,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,19.0,150.0,17.0,13.0,0.800000012
8606020838,124934495,13 Nov 2021 21:53:30:000,51.60144,-0.1961318,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,35.0,151.0,8.457142857,12.0,0.899999976
8606020839,124934495,13 Nov 2021 21:53:52:000,51.60231,-0.1978467,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,22.0,153.0,14.95454545,13.0,0.699999988
8606020840,124934495,13 Nov 2021 21:59:15:000,51.60182,-0.19893,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,323.0,150.0,0.657320872,13.0,0.699999988
8606020841,124934495,13 Nov 2021 22:01:42:000,51.60221,-0.1983865,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,147.0,151.0,1.51369863,11.0,0.899999976
8606020842,124934495,13 Nov 2021 22:02:16:000,51.60183,-0.1966477,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,34.0,157.0,9.794117647,12.0,0.899999976
